Question,Answer
What is the Application Architecture & Design Patterns module about?,This module covers the architectural driven design of information systems and the role of proven good software development practices captured in the form of design patterns. A range of architectural patterns and detailed design patterns are explored using the Unified Modelling Language (UML) and program code examples where appropriate. The core learning theme is the iterative formation of a functional software architecture design description and its elaboration into detailed principal design components but one that is often significantly moderated by desired quality (non-functional) requirements. Domain-specific architectures are discussed in the context of Software Product Lines.
What SHE level is the Application Architecture & Design Patterns module?,The Application Architecture & Design Patterns module is SHE level is 3.
How many SCQF credit points is the Application Architecture & Design Patterns module worth?,The Application Architecture & Design Patterns module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Application Architecture & Design Patterns module worth?,The Application Architecture & Design Patterns module is worth 10.00 ECTS credit points.
What is the module code for the Application Architecture & Design Patterns?,The module code's for Application Architecture & Design Patterns is : M131325639 - M31325081 - M31322914 - M31324181.
Who is the module leader for the Application Architecture & Design Patterns?,The module leader for Application Architecture & Design Patterns is : Mike Mannion 
When does the module Application Architecture & Design Patterns actually start?,The module Application Architecture & Design Patterns will start either in trimester A - september start or trimester B - january start or trimester C - may start.
How is the assessment's split up for the Application Architecture & Design Patterns module?,There are two components to the Application Architecture & Design Patterns assessment one beign a 2 hour exam weighting at 50.00 with a threshold of 35% - the other being coursework which has a weighting of 50.00 with a threshhold of 35%.
What is the Big Data module about?,This module will provide an introduction to the challenges and possible solutions around big data. Big data is the common term for a collection of data sets so large and complex that it becomes difficult to process using commonly available relational database management systems- desktop statistics and visualization packages. The size and complexity of big data creates challenges in terms of storage- search- sharing- transfer- analysis and visualization. Students will be introduced to the problems of big data and technologies that help address these issues e.g. Hadoop. They will also gain an understanding of data mining and the different applications of data mining e.g. search systems- business intelligence- recommender systems etc. thereby gaining the practical and theoretical skills to make sense of large volumes of data.
What SHE level is the Big Data module?,The Big Data module is SHE level is 4.
How many SCQF credit points is the Big Data module worth?,The Big Data module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Big Data module worth?,The Big Data module is worth 10.00 ECTS credit points.
What is the module code for the Big Data?,The module code's for Big Data is : MH1222956 - MH1224186 - MH1225101.
Who is the module leader for the Big Data?,The module leader's for Big Data is : Yan Zhang - Josiah Nyangaga.
When does the Big Data module actually start?,The module Big Data will start either in trimester A - september start or trimester B - january start or trimester C - may start.
How is the assessment's split up for the Big Data module?,There are two components to the assessment for Big Data one being a 2 hour exam weighting at 60.00 with a theshhold of 35% - the other being coursework which has a weighting of 40.00 with a theshhold of 35%.
What is the Big Data Platforms module about?,This module covers the platforms that support data storage- processing and analytics in Big Data scenarios. It focuses on highly scalable platforms that provide operational capabilities for real-time- interactive processing and on platforms that provide analytical capabilities for retrospective- complex analysis. Students will gain an advanced understanding of the principles on which these platforms are based- and their strengths- weaknesses and applicability to different types of scenario. They will also gain advanced practical skills in the design and implementation of scalable Big Data platform solutions.
What SHE level is the Big Data Platforms module?,The Big Data Platforms module's SHE level is 5.
How many SCQF credit points is the Big Data Platforms module worth?,The Big Data Platforms module is worth 20.00 SCQF credit points. 
How many ECTS credit points is the Big Data Platforms module worth?,Big Data Platforms module is worth 10.00 ECTS credcit points.
What is the module code for the Big Data Platforms module?,The module code for Big Data Platforms is: MM1223995.
Who is the module leader for the Big Data Platforms,The module leader for Big Data Platforms is : James Paterson.
When does the Big Data Platforms actually start?,The module Big Data Platforms will start in trimester B - january start. 
How is the assessment's split up for the Big Data Platforms module?,There are two components to the Big Data Platforms assessment one being coursework1 weighting at 50.00 with a threshold of 45% - the other being coursework2 which has a weighting of 50.00 with a threshold of 45%.
What is the Business Process Modelling module about?,This module is concerned with the modelling of business processes. It starts with an overview of business process modelling history- standards- development lifecycle and deployment platforms. Comprehensive coverage of the standardised Business Process Modelling Notation (BPMN) is provided so that students are in a position to read and develop process models. Simulation of process models as well as model deployment- execution and approaches to process model analytics are covered. During the module students are expected to develop and work with a range of different types of business process model typical of a range of businesses.
What SHE level is the Business Process Modelling module?,The Business Process Modelling module's SHE level is 4.
How many SCQF credit points is the Business Process Modelling module worth?,The Business Process Modelling module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Business Process Modelling module worth?,The Business Process Modelling module is worth 10.00 ECTS credit points.
What is the module code for the Business Process Modelling module?,The module code's for Business Process Modelling is: MH1322957 - MH1325103 - MH1325698.
Who is the module leader for the Business Process Modelling?,The module leader's for Business Process Modelling is : Peter Barrie - Richard Holden.
When does the Business Process Modelling actually start?,The module Business Process Modelling will start either in trimester A - september start or trimester B january start.
How is the assessments's split up for the Business Process Modelling module?,There are two components to the Business Process Modelling assessment one being a exam weighting at 50.00 with a threshold of 35% -  the other being coursework which has a weighting of 50.00 with a thrreshold of 35%.
What is the Client Side Web Development module about?,This module provides students with the technical foundation to enable them to develop applications which are executed within a web browser. The module covers HTML5- JavaScript frameworks and libraries and other appropriate technologies with implementations that allow client-side scripts to interact with the user- control the browser- communicate asynchronously and alter document content. In addition- widely applied patterns used for client-side web application development are covered. While undertaking the module students develop applications that consume remote services using appropriate technologies and data formats within browser-based applications.
What SHE level is the Client Side Web Development module?,The Client Side Web Development module's SHE level is 4.
How many SCQF credit points is the Client Side Web Development module worth?,The Client Side Web Development module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Client Side Web Development module worth?,The Client Side Web Development module is worth 10.00 ECTS credit points.
What is the module code for the Client Side Web Development module?,The module code's for Client Side Web Development is : MH1322924 -MH1324187.
Who is the module leader for the Client Side Web Development?,The module leader for Client Side Web Development is : Jim Devon
When does the Client Side Web Development module actually start?,The module Client Side Web Development will start in either trimester A - september start or trimester B - january start or trimester C - may start.
How is the assessment's split up for the Client Side Web Development module?,There are two components to the Client Side Web Development assessment's one being a exam weighting at 50.00 with a threshold of 35% - the other being coursework which has a weighting of 50.00 with a threshhold of 35%.
What is the Cloud Computing And Web Services module about?,This module provides analytical and practical coverage of cloud computing and web services. It focuses on the technology- frameworks and associated standards: cloud models- cloud platforms and scalability. It also provides coverage of current web service technology and data transport representations- and integrated cloud and web service application development. Current examples from industry technology are used throughout.
What SHE level is the Cloud Computing And Web Services module?,The Cloud Computing And Web Services module's SHE level is 5.
How many SCQF credit points is the Cloud Computing And Web Services module worth?,The Cloud Computing And Web Services module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Cloud Computing And Web Services module worth?,The Cloud Computing And Web Services module is worth 10.00 ECTS credit points.
What is the module code for the Cloud Computing And Web Services module?,The module code for Cloud Computing And Web Services is : MM1223996.
Who is the module leader for the Cloud Computing And Web Services module?,The module leader for Cloud Computing And Web Services module is : Brian Hainey.
When does the Cloud Computing And Web Services module actually start?,The module Cloud Computing And Web Services will start in trimester B - january start.
How is the assessment's split up for the Cloud Computing And Web Services module?,There are two components to the Cloud Computing And Web Services assessment's one being coursework1 weighting at 50.00 with a threshold of 45%- the other being coursework2 which has a weighting of 50.00 with a threshold of 45%.
What is Cloud Platform Development module about?,This module provides analytical and practical coverage of cloud compu ting and web services . The module provides in-depth coverage of cloud computing technology exploring scalability- cloud architecture- platform and data virtualisation (relational and non-relational)- delivery and deployment models and issues concerning cloud security. It also focuses on the technology- frameworks and associated standards which support and underpin web services- such as SOA and web service architectural styles. Students will also be introduced to Platform as a Service (PaaS) software development.
What SHE level is the Cloud Platform Development module?,The Cloud Platform Development module's SHE level is 4.
How many SCQF credit points is the Cloud Platform Development module worth?,The Cloud Platform Development module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Cloud Platform Development module worth?,The Cloud Platform Development module is worth 10.00 ECTS credit points.
What is the module code for the Cloud Platform Development module?,The module code's for Cloud Platform Development is : MH1322958 -MH1324190 -MH1325104 -MH1325614.
Who is the module leader for the Cloud Platform Development?,The module leader for Cloud Platform Development is : Sajid Nazir.
When does the Cloud Platform Development module actually start?,The module Cloud Platform Development will start in either trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Cloud Platform Development module?,There are two components to the Cloud Platform Development module one being a exam weighting at 50.00 with a threshold of 35% - the other being coursework which has a weighting of 50.00 with a threshold of 35%.
What is the Cloud Software Engineering module about?,This module is concerned with the approach taken to software engineering when developing modern cloud hosted software systems. The module covers the cloud computing design patterns that govern the architecture of typical cloud platforms. In addition- software engineering techniques and the approach taken to developing software including Application Lifecycle Management (ALM) and the use of Development Operations (DevOps) services is covered. An in depth study is also provided of the architecture- technology and services available on a typical cloud platform and the development of applications for that platform.
What SHE level is the Cloud Software Engineering module?,The Cloud Software Engineering module's SHE level is 5.
How many SCQF credit points is the Cloud Software Engineering module worth?,The Cloud Software Engineering module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Cloud Software Engineering module worth?,The Cloud Software Engineering module is worth 10.00 ECTS credit points.
What is the module code for the Cloud Software Engineering module?,The module code for Cloud Software Engineering is : MM1324106.
Who is the module leader for the Cloud Software Engineering module?,The module leader for Cloud Software Engineering module is : Brian Hainey.
When does the Cloud Software Engineering module actually start?,The module Cloud Software Engineering will start in trimester B -january start.
How is the assessment's split up for the Cloud Software Engineering module?,There are two components to the Cloud Software Engineering assessment's one being coursework1 weighting at 50.00 with a threshold of 35% - the other being coursework2 which has a weighting of 50.00 with a threshold of 35%.
What is the Cloud Systems And Security module about?,This module is concerned with the important area of security with respect to cloud systems. The module includes coverage of the fundamentals of cloud systems- common architectures- cloud system capabilities and cloud services. The areas of system security specific to cloud systems- and the concepts- standards and technologies associated with identity and access management will also be covered. In addition- cloud security management will be considered as well as the range of cloud service providers currently operating. A programme of lab sessions is included with a focus on allowing students to gain hands-on experience of using and configuring cloud systems from the perspective of ensuring that they are secure.
What SHE level is the Cloud Systems And Security module?,The Cloud Systems And Security module's SHE level is 5.
How many SCQF credit points is the Cloud Systems And Security module worth?,The Cloud Systems And Security module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Cloud Systems And Security module worth?,The Cloud Systems And Security module is worth 10.00 ECTS credit points.
What is the module code for the Cloud Systems And Security module?,The module code for Cloud Systems And Security is : MHI122335.
Who is the module leader for the Cloud Systems And Security module?,The module leader for Cloud Systems And Security module is : Huaglory Tianfield.
When does the Cloud Systems And Security module actually start?,The module Cloud Systems And Security will start in trimester A -september start.
How is the assessment's split up for the Cloud Systems And Security module?,There are two components to the Cloud Systems And Security assessment's one being a exam weighting at 50.00 with a threshold of 35% -the other being coursework which has a weighting of 50.00 with a threshold of 35%.
What is the Cloud Virtualisation module about?,This module provides a systematic study of the techniques and practices of protecting systems level security in cloud computing- i.e.- virtualisation- which- in the event of being compromised- would cause catastrophic consequences for cloud infrastructures and service customers. The module will focus on the security issues arising from the use of virtualised infrastructures and will investigate the vulnerabilities and security techniques of hypervisors or virtual machine monitors (VMM) together with containers. The module will emphasise current industry strength techniques of achieving cloud virtualisation security. The module will equip students with hands-on skills and experience through targeted lab work.
What SHE level is the Cloud Virtualisation module?,The Cloud Virtualisation module's SHE level is 5.
How many SCQF credit points is the Cloud Virtualisation module worth?,The Cloud Virtualisation module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Cloud Virtualisation module worth?,The Cloud Virtualisation module is worth 10.00 ECTS credit points.
What is the module code for the Cloud Virtualisation module?,The module code for Cloud Virtualisation is : MMI124017.
Who is the module leader for the Cloud Virtualisation module?,The module leader for Cloud Virtualisation is : Huaglory Tianfield.
When does the Cloud Virtualisation module actually start?,The module Cloud Virtualisation will start in trimester A -september start.
How is the assessment's split up for the Cloud Virtualisation module?,There are two components to the Cloud Virtualisation assessment's one being coursework1 weighting at 50.00 with a threshold of 45% -the other being coursework2 which has a weighting of 50.00 with a threshold of 45%.
What is the Data Structures And Algorithms module about?,This module covers the concepts associated with data structures and algorithms including the design of algorithms considering factors such as efficiency and complexity. A range of widely employed data structures such as Arrays- Lists- Trees and Queues are investigated. Coverage of algorithms such as searching and sorting as well as those associated with graph data structures are also included. The topic is covered in the context of object-oriented development and enables students to develop an appropriate object-oriented software solution given a simple set of requirements where consideration has been given to the use of the most appropriate data-structures and algorithms.
What SHE level is the Data Structures And Algorithms module?,The Data Structures And Algorithms module's SHE level is 2.
How many SCQF credit points is the Data Structures And Algorithms module worth?,The Data Structures And Algorithms module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Data Structures And Algorithms module worth?,The Data Structures And Algorithms module is worth 10.00 ECTS credit points.
What is the module code for the Data Structures And Algorithms module?,The module code's for Data Structures And Algorithms is :M21222994 -M21224180 -M21225088 -M21225696.
Who is the module leader for the Data Structures And Algorithms module?,The module leader's for Data Structures And Algorithms is : Bobby Law - Mark Jenkins - Jim Devon.
When does the Data Structures And Algorithms module actually start?,The module Data Structures And Algorithms will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for Data Structures And Algorithms module?,There are two components to the Data Structures And Algorithms assessment's one being a exam weighting at 50.00 with a threshold of 35% -the other being coursework  which has a weighting of 50.00 with a threshold of 35%.
What is the Database Development module about?,This module will provide students with an understanding of the techniques used in the design and implementation of modern Relational Database Systems. It will cover the principles of Relational Data Modelling- data definition and querying using SQL- integration of databases with applications and security support. The module will also expose students to non-relational database technologies.
What SHE level is the Database Development module?,The Database Development module's level is either 1 or 2.
How many SCQF credit points is the Database Development module worth?,The Database Development module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Database Development module worth?,The Database Development module is worth 10.00 ECTS credit points.
What is the module code for the Database Development module?,The module code's for Database Development is : M1I325625 -M21322954 -M21324174 -M21325091.
Who is the module leader for the Database Development module?,The module leader's for Database Development is : Martin Gallacher -Nhamoinesu Mtetwa.
When does the Database Development module actually start?,The module Database Development will either start in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Database Development module?,There are two components to the Database Development assessment's one being a exam weighting at 50.00 with a threshold of 35% -the other being coursework which has a weighting of 50.00 with a threshold of 35%.
What is the Devops module about?,This module is concerned with the software engineering Development and Operations (DevOps) approach used in the creation of software systems. The module covers the rationale for DevOps and the key concepts of Development- Configuration Management- Continuous Integration/Delivery (CI/CD) and Operations. In addition- the configuration and use of a DevOps CD pipeline is covered.
What SHE level is the Devops module?,The Devops module's SHE level is 3.
How many SCQF credit points is the Devops module worth?,The Devops module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Devops module worth?,The Devops module is worth 10.00 ECTS credit points.
What is the module code for the Devops module?,The module code for Devops is : M3I325687.
Who is the module leader for the Devops module?,The module leader for Devops is : Mark Jenkins.
When does the the Devops module actually start?,The module Devops will start in trimester A -september start.
How is the assessment's split up for Devops module?,There are two components to the Devops assessment one being coursework1 weighting at 50.00 with a threshold of 35% -the other being coursework2 which has a weighting of 50.00 with a threshold of 35%.
What is the Dissertation module about?,This module is concerned with the development and presentation of an MSc Dissertation on a topic relevant to the student's named programme. The dissertation project will be based on the proposal prepared by the student prior to the start of the MSc Dissertation project period. A series of facilitation sessions are provided to support students in developing their MSc Dissertation proposals- including guidance on how to clearly set out the Background- Objectives- Methods and Work-plan . The project is essentially an independent piece of development or research work- and the skills necessary to carry this through will derive from the programme's taught modules . Students will be provided with up to 2 hours guidance in the form of technical consultancy and with up to 6 hours guidance in the form of process consultancy.
What SHE level is the Dissertation module?,The Dissertation module's SHE level is 5.
How much SCQF credit points is the Dissertation module worth?,The Dissertation module is worth 60.00 SCQF credit points.
How much ECTS credit points is the Dissertation module worth?,The Dissertation module is worth 30.00 ECTS credit points.
What is the module code for the Dissertation module?,The module code for Dissertation is : MMG411931.
Who is the module leader for the Dissertation module?,The module leader for Dissertation is :  Peter Barrie.
When does the Dissertation module actually start?,The module Dissertation will either start in trimester A -september or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Dissertation module?,There are two components to the Dissertation assessment's one being coursework1 weighting at 20.00 with a threshold of 45% -the other being coursework2 with a weighting of 80.00 with a threshold of 45%.
What is the Front-End Web Development module about?,This module provides students with the technical foundation to enable them to develop applications which are executed within a web browser. The module covers HTML5- JavaScript frameworks and libraries and other appropriate technologies with implementations that allow client-side scripts to interact with the user- control the browser- communicate asynchronously and alter document content. In addition- widely applied patterns used for client-side web application development are covered. While undertaking the module students develop applications that consume remote services using appropriate technologies and data formats within browser-based applications.
What SHE level is the Front-End Web Development module?,The Front-End Web Development module's SHE level is 4.
How many SCQF credit points is the Front-End Web Development module worth?,The Front-End Web Development module is worth 20.00 SCQF credit points.
How many ECTS credit points is the Front-End Web Development module wirth?,The Front-End Web Development module is worth 10.00 ECTS credit points.
What is the module code for the Front-End Web Development module?,The module code for Front-End Web Development is : MHI325689.
Who is the module leader for Front-End Web Development module?,The module leader for Front-End Web Development is : Jim Devon.
When does the Front-End Web Development module actually start?,The module Front-End Web Development will start in trimester B -january start.
How is the assessment's split up for the Front-End Web Development module?,There are two components to the Front-End Web Development assessment's one being a exam weighting at 50.00 with a thresholf of 35% -the other being coursework with a weighting of 50.00 with a threshold of 35%.
What is the Fundamentals Of Computing module about?,This module introduces students to the fundamental aspects of computer systems appropriate and complementary to their programme of study: architectures; applications; computer networks; computer network interconnectivity; computer security. The module is accessed by several different programme suites and the module's learning outcomes and syllabus for each suite are tailored to complement other level 1 learning experiences for each suite. Students will gain practical experience in the investigation of computer systems and architecture through a programme of laboratory work and tutorial study. The percentage of Work Based Learning for this module- as represented by the proportion of the Activity Types which take place off campus is 79%. The percentage of Work Based Assessment for this module is 0%.
What SHE level is the Fundamentals Of Computing module?,The Fundamentals Of Computing module's SHE level is 1.
How much SCQF credit points is the Fundamentals Of Computing module worth?,The Fundamentals Of Computing module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Fundamentals Of Computing module worth?,The Fundamentals Of Computing module is worth 10.00 ECTS credit points.
What is the module code for the Fundamentals Of Computing module?,The module code's for Fundamentals Of Computing is : M1I325087 -M1I324451.
Who is the module leader for the Fundamentals Of Computing module?,The module leader for Fundamentals Of Computing is : Dawn Carmichael.
When does the Fundamentals Of Computing module actually start?,The module Fundamentals Of Computing will start in trimester A -january start.
How is the assessment's split up for the Fundamentals Of Computing module?,There are two components to the Fundamentals Of Computing assessment's one being cousework1 weighting at 50.00 witth a thresholf of 35% -the other being coursework2 with a weighting of 50.00 with a threshold of 35%.
What is the Fundamentals Of Network And Cloud Computing module about?,This module introduces students to the fundamental aspects of networks of computer systems- including systems that provide services in the cloud. The content covers the architecture- structure- functions- components and models used by the internet and other computer networks. The OSI and TCP/IP layered models are covered- including the protocols involved and the devices and services present in each layer. The module also covers the architecture of the cloud service models available on the internet when compared to those available on a local system or network- together with the fundamental capabilities of the major platforms that support provisioning of these services.
What SHE level is the Fundamentals Of Network And Cloud Computing module?,The Fundamentals Of Network And Cloud Computing module's SHE level is 1.
How much SCQF credit points is the Fundamentals Of Network And Cloud Computing module worth?,The Fundamentals Of Network And Cloud Computing module is worth 10.00 credit points.
How much ECTS credit points is the Fundamentals Of Network And Cloud Computing module worth?,The Fundamentals Of Network And Cloud Computing module is worth 5.00 credit points.
What is the module code for the Fundamentals Of Network And Cloud Computing module?,The module code for Fundamentals Of Network And Cloud Computing module is : M1I325624.
Whos is the module leader for the Fundamentals Of Network And Cloud Computing module?,The module leader for Fundamentals Of Network And Cloud Computing is : Dawn Carmichael.
When does the Fundamentals Of Network And Cloud Computing module actually start?,The module Fundamentals Of Network And Cloud Computing will start in trimester B -january start.
How is the assessment's split up for the Fundamentals Of Network And Cloud Computing module?,There are two components to the  Fundamentals Of Network And Cloud Computing assessment's one being coursework1 weighting at 50.00 with a threshold of 35% -the other being coursework2 with a weighting of 50.00 with a threshold of 35%.
What is the Fundamentals Of Software Engineering module about?,This module will provide students with an introduction to the fundamental concepts- processes and practices in software engineering. This includes business analysis- requirements engineering- the software lifecycle and the software development process- software documentation- software quality and project risk as well as the challenges of dealing with legacy systems. It will also provide the student with an introduction to key professional practices in relation to the initial analysis and modelling of the development of commercial computer-based software systems. The percentage of Work Based Learning for this module- as represented by the proportion of the Activity Types which take place off campus- is 79%. The percentage of Work Based Assessment for this module is 0%.
What SHE level is the Fundamentals Of Software Engineering module?,The Fundamentals Of Software Engineering module's SHE level is 1.
How much SCQF credit points is the Fundamentals Of Software Engineering module worth?,The Fundamentals Of Software Engineering module is worth 20.00 SCQF credit points.
How much ECTS credit points is the Fundamentals Of Software Engineering module worth?,The Fundamentals Of Software Engineering module is worth 10.00 ECTS credit points.
What is the module code for the Fundamentals Of Software Engineering module?,The module code's for Fundamentals Of Software Engineering is: M1I325082 -M1I324170 -M1I322908.
Who is the module leader for the Fundamentals Of Software Engineering module?,The module leader for Fundamentals Of Software Engineering is: Iain Lambie.
When does the Fundamentals Of Software Engineering module actually start?,The module Fundamentals Of Software Engineering will start either in trimester A -september start or trimester B -january start or trimester C -may start.
How is the assessment's split up for the Fundamentals Of Software Engineering module?,Ther are two components to the Fundamentals Of Software Engineering assessment's one being a exam weighting at 50.00 with a theshold of 35% -another neing coursework with a weighting of 50.00 with a threshold of 35%.
What is the Honours Project module about?,This is a substantial individual piece of work with a significant research dimension based on an appropriate topic from within the student's programme of study and which reflects the student's own interests. This work will be concerned with a specific problem from the student's programme of study and will include as appropriate- a systematic investigation- a survey of literature relevant to the problem- an analysis of appropriate approaches- a detailed planning activity and an implementation of the selected approach. The project will also involve a reflective evaluation of the project outcomes and approach taken and a verbal presentation of the work. At this programme level the student is expected to be significantly autonomous and demonstrate a high degree of initiative in the conduct of the project.
What SHE level is the Honours Project module?,The Honours Project module's SHE level is 4.
How much SCQF credit points is the Honours Project module worth?,The Honours Project module is worth 40.00 SCQF credit points.
How much ECTS credit points is the Honours Project module worth?,The Honours Project module is worth 20.00 ECTS credit points.
What is the module code for the Honours Project module?,The module code for Honours Project is : MHW224192 -MHW225671 -MHG405293.
Who is the module leader for the Honours Project module?,The module leader's for the Honours Project is : Katrin Hartmann -Brian Shields.
When does the Honours Project module actually start?,The module Honours Project will start either in trimester A -september start or trimester B -january start.
How is the assessment's split up for the Honours Project module?,There are three components to the Honours Project assessment one being cousework1 weighting at 20.00 with a threshold of n/a -another being coursework2 with a weighting of 70.00 with a threshold of n/a -the last being coursework3 with a weighting of 10.00 with a threshhold of n/a.
What is the Honours Project (CCIS) module about?,This is a substantial individual piece of work with a significant research dimension based on an appropriate topic from within the student's programme of study and which reflects the student's own interests. This work will be concerned with a specific problem from the student's programme of study and will include as appropriate- a systematic investigation- a survey of literature relevant to the problem- an analysis of appropriate approaches- a detailed planning activity and an implementation of the selected approach. The project will also involve a reflective evaluation of the project outcomes and approach taken and a verbal presentation of the work. At this programme level the student is expected to be significantly autonomous and demonstrate a high degree of initiative in the conduct of the project. Students on Software Engineering Suite of programmes as well as students on the BSc(Hons) Computer Games (Software Development)- BSc(Hons) Computer Games (Design)- BEng(Hons) Network Systems Engineering and BEng(Hons) Digital Security- Forensics and Ethical Hacking programmes are required to undertake a practice-based capstone project .
What SHE level is the Honours Project (CCIS) module?,The Honours Project (CCIS) module's SHE level is 4.
How much SCQF credit points is the Honours Project (CCIS) module worth?,The Honours Project (CCIS) module is worth 40.00 SCQF credit points.
How much ECTS credit points is the Honours Project (CCIS) module worth?,The Honours Project (CCIS) module is worth 20.00 ECTS credit points.
What is the module code for the Honours Project (CCIS) module?,The module code for the Honours Project (CCIS) is : MHW222996.
Who is the module leader for the Honours Project (CCIS) module?,The module leader for Honours Project (CCIS) is : Brian Shields.
When does the Honours Project (CCIS) module actually start?,The module Honours Project (CCIS) will start in trimester A -september start or trimester B -January start.
How is the assessment's split up for the Honours Project (CCIS) module?,There are 3 components to the Honours Project (CCIS) assessment's one being coursework1 weighting at 20.00 wwith a threshold of n/a -another being coursework2 with a weighting of 70.00 with a threshold of n/a -the last being coursework3 with a weighting of 10.00 with a threshold of n/a.
What is the Honours Project (Development) module about?,The Honours Project (Development) is a substantial individual piece of work with a solid research dimension concerned with an aspect of the conceptual development- or application of an appropriate Computer Based Systems Engineering topic- which reflects the student's own interests and chosen programme. This study will be concerned with a specific practical problem and include a systematic investigation- including a review of literature appropriate to the context of the problem- an analysis of appropriate solution technologies/approaches and the development of an appropriate software artefact to enable evaluation. This will involve a reflective evaluation of the project results- approach taken and its applicability to the wider Computing industry/environment. The student must also reflect on the Professional and Ethical Issues related to their specific project. At this programme level the student is expected to be significantly autonomous and demonstrate a high degree of initiative in the conduct of the project.
What SHE level is the Honours Project (Development) module?,The Honours Project (Development) module's SHE level is 4.
How much SCQF credit points is the Honours Project (Development) module worth?,The Honours Project (Development) module is worth 40.00 SCQF credit points.
How much ECTS credit points is the Honours Project (Development) module worth?,The Honours Project (Development) module is worth 20.00 ECTS credit points.
What is the module code for the Honours Project (Development) module?,The module code for Honours Project (Development) is : MHIG421879.
Who is the module leader for the Honours Project (Development) module?,The module leader for the Honours Project (Development) is : Brian Shields.
When does the Honours Project (Development) module actually start?,The module Honours Project (Development) will start in trimester A -september start or trimester B - january start.
How is the assessment's split up for the Honours Project (Development) module?,There are 3 components to the Honours Project (CCIS) assessment's one being coursework1 weighting at 20.00 wwith a threshold of n/a -another being coursework2 with a weighting of 70.00 with a threshold of n/a -the last being coursework3 with a weighting of 10.00 with a threshold of n/a.
What is the Industrial Placement module about?,This module aims to enable the student to experience the Information Systems work environment of an organisation and understand its structure- function and operation. It will also enable students to undertake and demonstrate suitable professional practise within this domain. The student will undertake specific tasks to enhance the work based learning experience.
What SHE level is the Industrial Placement module?,The Industrial Placement module's SHE level is 3.
